,user_id,avg_watching_count,avg_completion_percentage,courses_count,avg_enroll_time,grade
0,U_8126464,10.759358288770054,1.1746998357836869,5,21,33
1,U_8650752,4.723404255319149,0.574468085106383,5,9,77
2,U_131074,2.5555555555555554,0.0,6,17,98
3,U_262145,2.0,0.5813953488372093,4,15,76
4,U_1441801,3.4705882352941178,0.0,5,16,88
5,U_10485779,3.730769230769231,0.2692307692307692,8,12,29
6,U_26,3.217391304347826,0.043478260869565216,11,15,29
7,U_9175067,2.3529411764705883,0.0,8,16,40
8,U_11010076,4.3,0.15,4,0,43
9,U_9306142,1.7419354838709677,0.6290322580645161,8,13,42
10,U_2490403,8.743589743589743,0.7692307692307693,4,6,96
11,U_36,1.7580645161290323,0.2903225806451613,6,16,39
12,U_5242916,14.79136690647482,0.5683453237410072,5,20,9
13,U_3801125,2.6944444444444446,0.5555555555555556,4,12,51
14,U_3014700,3.2549019607843137,0.5686274509803921,5,21,62
15,U_1835057,3.327272727272727,0.36363636363636365,19,9,37
16,U_6553662,5.381578947368421,0.42105263157894735,7,22,67
17,U_4718655,12.5,0.0,4,16,6
18,U_7209029,8.25,0.5625,5,15,51
19,U_9699398,8.861940298507463,0.6492537313432836,10,21,5
20,U_6815815,4.155555555555556,0.6,7,21,99
21,U_3670090,4.2,0.6,4,18,25
22,U_9044043,3.5767441860465117,0.35348837209302325,4,12,17
23,U_8388685,2.823529411764706,0.7794117647058824,4,9,19
24,U_6684751,2.8333333333333335,0.05555555555555555,4,17,42
25,U_2621524,2.3181818181818183,0.5454545454545454,4,7,34
26,U_655446,6.227876106194691,0.5685840707964602,6,10,67
27,U_87,6.7227722772277225,0.09900990099009901,7,18,98
28,U_4587611,5.210843373493976,0.7650602409638554,6,10,77
29,U_1966174,3.6511627906976742,0.5697674418604651,9,22,73
30,U_5242976,2.5,0.6842105263157895,4,22,71
31,U_10879075,5.111111111111111,0.3888888888888889,5,20,6
32,U_655462,2.8333333333333335,0.6944444444444444,9,21,79
33,U_8519784,5.8,0.676923076923077,4,23,68
34,U_7995499,3.6,0.6618181818181819,6,21,60
35,U_116,5.0,0.4375,6,22,88
36,U_393332,5.625,0.625,5,14,22
37,U_10223734,1.1333333333333333,1.0,6,23,38
38,U_2490489,11.08,0.88,4,15,80
39,U_1572987,5.1440677966101696,0.4661016949152542,5,18,44
40,U_8388732,2.961783439490446,0.49044585987261147,6,22,63
41,U_9306240,1.945945945945946,0.32432432432432434,4,11,5
42,U_1441921,5.666666666666667,0.375,5,9,55
43,U_130,5.967741935483871,0.5161290322580645,5,20,70
44,U_8126594,19.727272727272727,0.6363636363636364,4,21,27
45,U_9044104,1.7,0.4,5,17,38
46,U_4587659,2.5757575757575757,0.5757575757575758,5,14,36
47,U_6946958,3.347826086956522,0.2857142857142857,10,0,28
48,U_143,2.7025316455696204,0.6582278481012658,4,18,86
49,U_3014799,5.142857142857143,0.0,7,19,29
50,U_8126609,4.36734693877551,0.4489795918367347,4,20,27
51,U_9175189,1.641025641025641,0.7948717948717948,6,15,34
52,U_9437337,19.6,0.52,4,16,36
53,U_2490521,5.75,0.609375,11,23,71
54,U_8126628,1.2236024844720497,0.9751552795031055,4,21,59
55,U_7995558,4.833333333333333,0.08333333333333333,4,9,59
56,U_5767335,2.5294117647058822,0.0,7,22,88
57,U_6160551,1.1176470588235294,0.8235294117647058,4,7,55
58,U_1441962,6.509433962264151,0.37735849056603776,9,11,65
59,U_8519857,17.09090909090909,0.18181818181818182,4,11,44
60,U_8519865,1.8823529411764706,0.29411764705882354,7,22,54
